,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
70,Computer Face//Pure Being,Flying Lotus,152840,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky",154.065,-4.68,0.841,0.511,11,0.935,0.343,hype
71,Confetti,Cold Cave,337573,"dark post-punk, dark synthpop, grave wave, metropopolis, modern goth",104.998,-2.669,0.955,0.471,8,0.856,0.716,hype
72,Ginger Claps,Machine Girl,184999,"digital hardcore, hardvapour",112.47,-6.936,0.855,0.326,6,0.809,0.537,hype
73,PILOT (feat. Sydney Bennett),"Tyler, The Creator",209412,"hip hop, rap",109.995,-2.389,0.869,0.596,5,0.0493,0.545,hype
74,The Threat Is Real,Megadeth,262026,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",155.097,-3.855,0.988,0.378,2,0.0177,0.107,hype
75,Dystopia,Megadeth,299106,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",110.051,-2.934,0.988,0.273,10,0.0115,0.156,hype
76,Fatal Illusion,Megadeth,255893,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",123.999,-3.615,0.981,0.34,9,0.00452,0.134,hype
77,Into The Lungs Of Hell,Megadeth,209733,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",89.136,-8.068,0.966,0.192,4,0.894,0.0385,hype
78,Set The World Afire,Megadeth,348760,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",81.799,-8.696,0.948,0.245,9,0.15,0.122,hype
79,502,Megadeth,208066,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",79.322,-10.144,0.936,0.324,11,0.311,0.0955,hype
80,Liar,Megadeth,200866,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",102.213,-8.991,0.951,0.516,7,0.0453,0.218,hype
81,Hook In Mouth,Megadeth,283973,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal",150.864,-9.295,0.931,0.378,0,0.038,0.268,hype
82,Trench Town,Sickboyrari,145653,"cloud rap, glitchcore",92.495,-11.484,0.719,0.617,1,0.0054,0.262,hype
